metric,median_value,unit
cpu_single_request_host_wall_avg,496.752,us
cpu_single_request_host_wall_p50,493.6,us
cpu_single_request_host_wall_p95,602.4,us
gpu_1stream_1batch_single_request_host_wall_avg,343.38,us
gpu_1stream_1batch_single_request_host_wall_p50,341.10,us
gpu_1stream_1batch_single_request_host_wall_p95,402.40,us
single_request_latency_speedup_avg,1.4467,x
single_request_latency_speedup_p50,1.4471,x
cpu_stage_ce_mmse_diagnostic_replay,44.393,us
cpu_stage_reg_cce_diagnostic_replay,12.154,us
cpu_stage_llr_diagnostic_replay,20.763,us
cpu_stage_candidate_gather_diagnostic_replay,0.988,us
cpu_stage_rate_recovery_diagnostic_replay,2.698,us
cpu_stage_tail_biting_viterbi_diagnostic_replay,273.712,us
cpu_stage_crc_dci_diagnostic_replay,0.397,us
gpu_1stream_1batch_cuda_h2d,49.11,us
gpu_1stream_1batch_cuda_ce_mmse,75.61,us
gpu_1stream_1batch_cuda_llr,55.45,us
gpu_1stream_1batch_cuda_rate_recovery,4.92,us
gpu_1stream_1batch_cuda_viterbi,30.11,us
gpu_1stream_1batch_cuda_crc,7.83,us
gpu_1stream_1batch_cuda_d2h,17.16,us
gpu_1stream_1batch_host_submit,231.02,us
gpu_1stream_1batch_host_collect,85.48,us
gpu_fixed_h2d,301380,B/request
gpu_fixed_d2h,24,B/request
